doc_id	exp_id
15	1
1533716782	1
2093013061	1
2339209416	1
2757079914	1
2889349357	1
2889740235	1
2941964798	1
2968176166	1
1019677957	2
131359426	2
151188962	2
1527694686	2
19	2
2810968146	2
2895247503	2
131359426	3
150012053	3
1530854586	3
1532553277	3
2892036907	3
1448624402	4
1500084159	4
1511670876	4
27	4
2949291273	4
57	4
1493916683	5
1504856008	5
1516508996	5
2749521565	5
2888100547	5
7	5
54	6
55	6
56	6
57	6
754200012	6
17	7
2894304194	7
2950010073	7
2954032282	7
2968701259	7
147704292	8
21	8
2941964798	8
49	8
52	8
56	8
147704292	9
21	9
2941964798	9
49	9
52	9
56	9
2415325177	10
2794850674	10
2797641221	10
2805209921	10
2806518684	10
40	10
44	10
835365303	10
89451762	10
18	11
2040043577	11
2749521565	11
2810968146	11
2888477402	11
2906808597	11
42	11
43	11
55	11
2047319275	12
2100028027	12
2117924928	12
2124690797	12
25	12
2562908749	12
2570453702	12
2796443924	12
2047319275	13
2100028027	13
2117924928	13
2124690797	13
25	13
2562908749	13
2570453702	13
2796443924	13
1494033132	14
1528342628	14
1529793248	14
2463945949	14
2899514909	14
111823101	15
12	15
1508161316	15
1514623391	15
2898599358	15
3004077497	15
3004169763	15
48	15
23	16
36	16
39	16
4	16
50	16
567125047	16
567125047	17
6	17
602340265	17
7	17
8	17
835365303	17
855132903	17
89451762	17
9	17
1491527877	18
1497796471	18
1534162055	18
28	18
2885025643	18
2889740224	18
1524829466	19
1527980854	19
1532553277	19
1534162055	19
1535824984	19
1549686097	19
1593729956	19
24	19
1	20
10	20
1534162055	20
2892036907	20
2949291273	20
41	20
45	20
46	20
2111507945	21
2202800066	21
2584932255	21
2803622358	21
2803622367	21
30	21